cluster_id,cluster_lat,cluster_lon,Q_kg_hr,IME_kg,area_km2,dist_to_fac_km,facility_name,facility_type,facility_lat,facility_lon,eggrt_id,state,annual_ch4_co2e_t,epa_reported_kg_hr,detected_vs_reported,detected_annual_t_ch4
37,32.81834,-103.98645,18.2,0.42,0.1536,,Unattributed,unknown,,,,,,,,159.4
33,32.81807,-103.97331,17.21,0.36,0.1253,,Unattributed,unknown,,,,,,,,150.8
41,32.81353,-104.01574,13.65,0.27,0.1172,,Unattributed,unknown,,,,,,,,119.6
23,32.85005,-103.92942,10.5,0.1,0.0257,,Unattributed,unknown,,,,,,,,92.0
27,32.83284,-103.978,9.68,0.13,0.0489,,Unattributed,unknown,,,,,,,,84.8
35,32.81916,-103.97681,9.61,0.12,0.0434,,Unattributed,unknown,,,,,,,,84.2
30,32.82048,-103.93663,9.04,0.09,0.0307,,Unattributed,unknown,,,,,,,,79.2
15,32.85648,-103.79348,8.92,0.12,0.0506,,Unattributed,unknown,,,,,,,,78.1
36,32.8187,-103.98017,8.83,0.13,0.0666,,Unattributed,unknown,,,,,,,,77.4
31,32.82535,-103.97927,7.34,0.08,0.0321,,Unattributed,unknown,,,,,,,,64.3
44,32.77169,-103.88523,7.1,0.05,0.0143,,Unattributed,unknown,,,,,,,,62.2
39,32.81793,-104.01471,6.94,0.07,0.0289,,Unattributed,unknown,,,,,,,,60.8
38,32.82124,-104.02882,6.87,0.03,0.0073,,Unattributed,unknown,,,,,,,,60.2
26,32.8357,-103.90329,6.81,0.05,0.0186,,Unattributed,unknown,,,,,,,,59.7
17,32.84883,-103.80619,6.78,0.06,0.0214,,Unattributed,unknown,,,,,,,,59.4
16,32.85453,-103.80312,6.7,0.09,0.0475,,Unattributed,unknown,,,,,,,,58.7
28,32.8368,-104.01283,6.07,0.05,0.0159,,Unattributed,unknown,,,,,,,,53.2
43,32.7842,-103.91787,5.81,0.04,0.0128,,Unattributed,unknown,,,,,,,,50.9
29,32.83136,-103.98514,5.59,0.04,0.0173,,Unattributed,unknown,,,,,,,,49.0
14,32.91729,-103.80697,5.22,0.05,0.0227,,Unattributed,unknown,,,,,,,,45.7
40,32.81937,-104.02602,5.2,0.03,0.0087,,Unattributed,unknown,,,,,,,,45.6
1,32.98867,-103.86623,5.17,0.03,0.0116,,Unattributed,unknown,,,,,,,,45.3
46,32.76555,-103.91771,4.76,0.02,0.0073,,Unattributed,unknown,,,,,,,,41.7
5,32.9929,-103.98537,4.74,0.04,0.0189,,Unattributed,unknown,,,,,,,,41.5
4,32.99618,-103.98514,4.35,0.03,0.0146,,Unattributed,unknown,,,,,,,,38.1
13,32.94798,-103.94901,3.98,0.03,0.013,,Unattributed,unknown,,,,,,,,34.9
12,32.94015,-103.88095,3.75,0.02,0.0115,,Unattributed,unknown,,,,,,,,32.8
8,32.97475,-103.98518,3.51,0.02,0.0086,,Unattributed,unknown,,,,,,,,30.7
10,32.93483,-103.81955,2.56,0.01,0.0072,,Unattributed,unknown,,,,,,,,22.4
