cluster_id,n_pixels,area_km2,IME_kg,plume_L_m,wind_speed_ms,Q_kg_hr,lat,lon
37,106,0.1536,0.42,391.9,4.72,18.2,32.81834,-103.98645
33,87,0.1253,0.36,353.9,4.72,17.21,32.81807,-103.97331
41,81,0.1172,0.27,342.3,4.72,13.65,32.81353,-104.01574
23,18,0.0257,0.1,160.2,4.72,10.5,32.85005,-103.92942
27,34,0.0489,0.13,221.2,4.72,9.68,32.83284,-103.978
35,30,0.0434,0.12,208.4,4.72,9.61,32.81916,-103.97681
30,21,0.0307,0.09,175.3,4.72,9.04,32.82048,-103.93663
15,35,0.0506,0.12,225.0,4.72,8.92,32.85648,-103.79348
36,46,0.0666,0.13,258.1,4.72,8.83,32.8187,-103.98017
31,22,0.0321,0.08,179.1,4.72,7.34,32.82535,-103.97927
44,10,0.0143,0.05,119.5,4.72,7.1,32.77169,-103.88523
39,20,0.0289,0.07,170.0,4.72,6.94,32.81793,-104.01471
38,5,0.0073,0.03,85.4,4.72,6.87,32.82124,-104.02882
26,13,0.0186,0.05,136.3,4.72,6.81,32.8357,-103.90329
17,15,0.0214,0.06,146.1,4.72,6.78,32.84883,-103.80619
16,33,0.0475,0.09,217.9,4.72,6.7,32.85453,-103.80312
28,11,0.0159,0.05,126.2,4.72,6.07,32.8368,-104.01283
43,9,0.0128,0.04,113.3,4.72,5.81,32.7842,-103.91787
29,12,0.0173,0.04,131.6,4.72,5.59,32.83136,-103.98514
14,16,0.0227,0.05,150.5,4.72,5.22,32.91729,-103.80697
40,6,0.0087,0.03,93.2,4.72,5.2,32.81937,-104.02602
1,8,0.0116,0.03,107.7,4.72,5.17,32.98867,-103.86623
46,5,0.0073,0.02,85.4,4.72,4.76,32.76555,-103.91771
5,13,0.0189,0.04,137.6,4.72,4.74,32.9929,-103.98537
4,10,0.0146,0.03,120.7,4.72,4.35,32.99618,-103.98514
13,9,0.013,0.03,113.8,4.72,3.98,32.94798,-103.94901
12,8,0.0115,0.02,107.4,4.72,3.75,32.94015,-103.88095
8,6,0.0086,0.02,93.0,4.72,3.51,32.97475,-103.98518
10,5,0.0072,0.01,84.7,4.72,2.56,32.93483,-103.81955
